MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Feb,20,2016,Saturday,56,44,21,18,30,28,30,86,178,219,291,363,363,363,361,337,384,340,258,172,168,118,90,64
Feb,21,2016,Sunday,45,49,30,8,12,17,31,57,125,160,249,367,359,374,362,327,337,313,225,138,119,59,48,24
Feb,22,2016,Monday,19,11,9,13,33,75,130,214,164,174,190,232,234,251,393,521,628,531,308,195,144,108,68,60
Feb,23,2016,Tuesday,32,16,29,18,35,72,136,214,139,163,203,207,220,279,383,487,655,491,335,189,161,125,77,74
Feb,24,2016,Wednesday,27,20,35,17,45,78,131,193,146,167,172,231,229,288,404,537,710,585,321,241,155,137,101,74
Feb,25,2016,Thursday,36,19,30,18,45,67,134,226,132,169,184,244,256,267,419,541,671,569,319,216,161,110,72,72
Feb,26,2016,Friday,37,21,26,20,45,69,129,207,160,174,196,285,319,333,527,582,759,611,460,231,199,126,107,91
Feb,27,2016,Saturday,56,35,20,13,25,20,59,99,161,269,318,396,433,394,403,371,383,370,276,169,133,135,78,78
Feb,28,2016,Sunday,63,52,20,11,11,11,32,79,116,172,246,292,363,364,332,327,301,307,217,130,111,66,38,32
Feb,29,2016,Monday,15,6,10,10,44,65,139,209,158,174,184,230,271,236,397,509,628,579,314,192,129,114,87,61
Mar,1,2016,Tuesday,20,14,22,25,35,67,122,213,125,134,151,161,221,238,391,478,664,553,310,180,123,144,73,75
Mar,2,2016,Wednesday,30,17,29,17,33,76,125,204,139,153,227,237,281,266,434,558,702,586,340,240,173,120,97,73
Mar,3,2016,Thursday,37,18,29,21,35,73,131,231,158,185,203,242,262,280,456,536,695,580,335,225,145,131,99,79
Mar,4,2016,Friday,29,18,36,16,39,76,121,218,171,193,247,286,356,366,462,557,637,560,391,183,156,114,112,68
Mar,5,2016,Saturday,53,38,26,15,13,23,53,105,122,218,270,327,343,355,384,375,382,329,299,178,146,123,88,74
Mar,6,2016,Sunday,49,54,20,9,10,17,50,69,99,157,261,346,368,363,364,349,359,294,215,182,102,63,43,31
Mar,7,2016,Monday,22,10,8,13,39,76,122,223,179,190,210,264,255,282,416,541,684,564,279,193,139,95,49,76
Mar,8,2016,Tuesday,27,18,30,23,44,68,136,217,159,190,190,236,288,272,405,528,689,608,320,186,148,111,81,67
