MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Aug,5,2016,Friday,34,28,43,24,50,88,139,227,208,262,333,350,405,441,528,654,784,786,578,301,196,166,131,93
Aug,6,2016,Saturday,46,40,26,15,19,33,62,133,165,298,372,413,427,414,413,374,365,394,303,273,228,208,115,96
Aug,7,2016,Sunday,73,38,21,17,9,22,34,90,135,242,301,361,395,418,438,452,393,325,259,207,170,116,56,32
Aug,8,2016,Monday,20,11,12,15,35,96,130,212,159,205,256,261,301,313,451,538,680,575,343,234,187,124,66,73
Aug,9,2016,Tuesday,30,24,30,22,37,84,140,195,203,208,252,272,292,353,452,544,726,574,356,251,174,157,92,79
Aug,10,2016,Wednesday,33,28,33,21,41,84,141,206,188,220,251,287,321,367,465,594,710,632,372,248,182,157,96,89
Aug,11,2016,Thursday,30,27,38,18,44,84,133,205,193,231,251,298,353,361,426,549,719,694,372,242,214,160,90,88
Aug,12,2016,Friday,35,29,27,19,50,157,224,331,287,311,382,416,463,487,635,767,791,727,441,289,184,201,114,98
Aug,13,2016,Saturday,44,42,19,13,19,44,53,130,207,310,436,516,496,468,516,451,462,454,365,224,211,164,109,84
Aug,14,2016,Sunday,61,52,25,18,11,23,42,82,148,242,367,401,489,447,456,418,379,358,322,228,187,111,51,37
Aug,15,2016,Monday,19,14,14,12,40,88,145,201,176,227,247,323,289,312,458,528,695,593,359,231,188,140,99,74
Aug,16,2016,Tuesday,28,22,36,18,45,99,152,201,201,214,232,291,321,358,456,551,766,665,419,274,198,177,77,73
Aug,17,2016,Wednesday,25,20,36,16,53,96,132,197,180,232,237,319,330,392,429,573,590,653,377,265,245,166,102,68
Aug,18,2016,Thursday,40,28,37,23,49,106,128,200,199,245,225,291,323,329,466,588,751,674,422,199,195,130,93,65
Aug,19,2016,Friday,39,24,37,22,52,83,129,205,198,203,284,351,470,428,548,571,766,705,423,265,242,199,111,82
Aug,20,2016,Saturday,69,44,28,10,30,36,51,139,148,238,337,355,426,389,407,404,384,381,342,256,205,148,108,91
Aug,21,2016,Sunday,75,59,36,21,14,22,44,74,141,217,328,443,447,390,397,440,393,359,284,248,145,111,87,41
Aug,22,2016,Monday,33,18,11,11,48,87,138,194,156,203,257,284,286,360,436,563,713,631,342,217,162,141,89,62
Aug,23,2016,Tuesday,24,25,39,17,49,88,149,195,193,203,259,289,292,327,438,567,705,645,338,269,204,150,72,64
Aug,24,2016,Wednesday,28,26,31,26,44,86,131,208,137,209,200,248,284,322,464,599,712,691,382,245,204,132,96,68
Aug,25,2016,Thursday,39,33,30,22,42,99,142,226,161,211,220,276,351,324,469,556,771,649,392,253,235,133,98,75
Aug,26,2016,Friday,36,24,31,23,51,83,119,212,166,221,304,364,431,387,540,630,833,807,616,292,231,157,109,93
Aug,27,2016,Saturday,52,60,25,16,11,42,60,111,143,233,285,365,447,466,453,472,454,414,381,251,220,143,107,97
Aug,28,2016,Sunday,64,38,26,19,16,25,46,86,144,228,325,400,491,449,472,480,475,399,329,248,208,109,67,36
Aug,29,2016,Monday,21,12,12,18,41,91,149,195,156,213,220,298,315,360,453,545,699,608,335,281,163,139,67,62
Aug,30,2016,Tuesday,31,22,33,22,47,88,136,231,150,220,230,273,308,278,485,569,715,643,430,271,203,163,108,74
Aug,31,2016,Wednesday,30,23,28,20,49,90,131,233,145,224,244,279,315,335,486,553,753,699,422,303,225,157,86,56
Sep,1,2016,Thursday,26,20,27,25,56,92,150,220,188,186,227,260,347,362,503,548,721,669,395,248,216,156,87,69
Sep,2,2016,Friday,37,27,34,17,39,79,136,212,187,237,311,400,468,504,627,725,813,701,470,346,243,187,105,91
Sep,3,2016,Saturday,42,42,31,13,15,19,53,131,191,289,436,493,521,480,467,420,417,382,350,280,200,137,104,77
Sep,4,2016,Sunday,52,41,23,13,10,21,32,89,164,238,352,502,546,581,521,482,437,380,306,281,187,113,63,53
Sep,5,2016,Monday,30,19,9,9,16,19,52,67,101,176,222,295,349,339,328,312,282,271,227,219,163,92,44,33
Sep,6,2016,Tuesday,16,8,10,9,38,89,142,204,166,199,244,230,302,314,443,542,724,636,346,223,177,140,73,69
Sep,7,2016,Wednesday,29,27,29,22,42,92,143,218,165,186,225,256,297,347,471,560,803,692,366,271,187,120,83,57
Sep,8,2016,Thursday,26,28,33,24,53,87,140,250,169,229,240,287,317,350,459,651,850,764,415,235,191,134,80,66
Sep,9,2016,Friday,35,19,35,31,43,113,139,195,187,201,246,340,395,388,580,627,736,702,457,320,195,174,132,94
Sep,10,2016,Saturday,56,40,23,19,25,42,62,124,240,339,407,440,485,464,455,416,461,456,338,294,223,175,125,98
Sep,11,2016,Sunday,68,60,38,16,12,22,35,76,140,214,366,486,417,379,328,400,373,333,273,232,160,68,63,37
Sep,12,2016,Monday,11,11,11,10,49,103,156,222,167,175,237,248,273,306,413,561,696,587,363,281,182,109,85,59
Sep,13,2016,Tuesday,22,15,32,19,43,106,148,212,165,177,224,239,277,290,431,534,734,624,347,265,210,151,85,70
Sep,14,2016,Wednesday,27,23,38,23,42,103,158,217,199,205,260,252,278,314,438,584,761,637,424,291,207,133,78,70
Sep,15,2016,Thursday,33,26,32,28,50,108,147,248,180,194,243,261,328,343,415,578,712,599,363,297,198,139,75,60
Sep,16,2016,Friday,36,22,30,25,49,90,135,202,173,197,300,330,394,426,592,628,781,717,435,308,227,186,132,84
Sep,17,2016,Saturday,38,43,21,20,29,46,62,121,180,291,402,460,490,472,481,502,490,397,344,252,214,171,99,75
Sep,18,2016,Sunday,59,51,23,17,12,34,41,77,159,219,377,476,506,489,480,441,408,318,280,188,111,77,44,44
Sep,19,2016,Monday,24,10,10,20,38,81,136,219,178,200,214,313,294,325,420,558,717,603,318,278,155,117,65,62
Sep,20,2016,Tuesday,26,14,30,20,39,85,148,247,159,178,261,260,299,321,455,530,701,628,355,280,159,150,80,69
Sep,21,2016,Wednesday,20,30,28,17,40,79,134,211,151,168,208,271,328,291,462,568,735,628,384,275,199,110,87,65
Sep,22,2016,Thursday,23,21,33,23,43,87,128,187,181,175,195,259,299,305,462,582,724,658,393,292,184,132,82,71
Sep,23,2016,Friday,33,29,42,24,46,77,125,227,178,179,249,349,386,406,538,578,716,666,448,289,227,197,131,101
Sep,24,2016,Saturday,55,55,30,16,13,36,43,117,187,277,417,446,482,471,496,486,456,423,343,243,200,170,99,87
Sep,25,2016,Sunday,48,51,18,14,12,21,36,83,158,207,350,430,409,385,356,371,414,351,284,195,134,67,48,22
Sep,26,2016,Monday,16,7,12,9,43,83,144,196,159,214,239,287,261,296,434,557,725,600,326,255,171,95,79,55
Sep,27,2016,Tuesday,26,16,37,16,41,84,140,217,162,181,229,240,314,284,443,554,743,597,408,237,167,170,79,64
Sep,28,2016,Wednesday,27,19,35,21,42,91,136,212,161,211,251,232,309,328,469,560,766,654,387,286,203,127,84,58
Sep,29,2016,Thursday,16,24,29,21,38,86,149,239,151,197,201,238,293,338,464,586,799,608,388,319,185,116,88,71
Sep,30,2016,Friday,29,27,40,14,41,77,130,241,206,259,298,360,431,417,603,649,786,680,440,291,210,199,118,70
Oct,1,2016,Saturday,51,43,21,17,16,35,71,132,205,304,382,498,537,520,478,475,476,383,331,256,178,148,97,69
Oct,2,2016,Sunday,57,47,23,10,9,24,39,67,145,229,410,448,596,552,515,465,456,333,264,196,138,77,34,29
Oct,3,2016,Monday,15,8,6,14,50,86,125,220,159,220,252,270,321,306,460,542,710,584,355,242,109,109,89,56
Oct,4,2016,Tuesday,14,22,30,20,40,85,129,212,187,215,263,255,304,278,449,579,749,621,395,255,162,129,87,73
Oct,5,2016,Wednesday,19,20,40,17,51,90,120,215,163,197,251,275,296,343,466,567,659,654,391,287,206,132,80,62
Oct,6,2016,Thursday,32,19,31,17,49,91,146,239,160,238,249,236,320,329,483,583,757,677,420,279,177,122,70,69
Oct,7,2016,Friday,28,16,32,19,43,76,136,228,199,252,301,370,452,492,654,721,849,793,463,289,226,168,106,95
Oct,8,2016,Saturday,50,36,27,12,17,52,60,120,183,312,471,515,576,582,551,520,548,419,323,244,179,129,110,79
Oct,9,2016,Sunday,48,50,23,13,5,26,32,78,149,215,385,416,466,459,443,459,365,345,310,192,127,67,27,32
Oct,10,2016,Monday,13,9,10,14,42,81,117,227,161,231,264,270,302,335,458,586,715,595,355,210,154,105,67,54
Oct,11,2016,Tuesday,17,17,34,17,35,90,130,227,204,208,250,269,333,315,519,567,694,688,364,234,172,144,77,71
Oct,12,2016,Wednesday,34,16,40,21,39,82,130,209,201,185,243,265,244,341,443,585,788,631,383,254,153,133,82,60
Oct,13,2016,Thursday,15,16,33,20,43,70,121,264,192,209,228,267,338,352,481,577,622,649,393,273,200,125,80,65
Oct,14,2016,Friday,32,26,39,14,46,74,128,260,199,233,298,332,348,412,554,641,749,754,422,283,208,168,120,75
Oct,15,2016,Saturday,51,31,25,17,30,41,45,149,222,370,435,509,554,463,497,426,355,429,349,221,184,170,85,85
Oct,16,2016,Sunday,63,44,34,21,12,28,36,73,146,246,403,546,594,554,515,468,365,285,244,201,135,62,39,22
Oct,17,2016,Monday,10,8,6,17,46,72,134,238,182,210,245,299,316,330,430,562,721,559,344,201,135,114,73,42
Oct,18,2016,Tuesday,25,21,34,20,46,76,157,218,160,203,222,225,314,325,442,554,753,613,391,244,156,141,81,59
Oct,19,2016,Wednesday,32,27,35,25,45,74,116,229,176,226,236,308,309,345,464,561,749,612,388,247,167,118,78,67
Oct,20,2016,Thursday,27,20,36,20,44,66,122,226,207,205,246,302,341,366,510,594,758,619,377,246,181,134,107,70
Oct,21,2016,Friday,35,21,27,29,44,73,107,224,210,236,326,384,479,532,615,651,820,624,404,265,200,159,98,89
Oct,22,2016,Saturday,47,31,24,11,17,39,45,133,197,280,382,492,497,521,512,506,520,406,307,229,187,165,100,86
Oct,23,2016,Sunday,42,44,21,8,10,23,32,56,138,201,300,432,489,471,422,441,388,300,280,163,111,70,33,32
Oct,24,2016,Monday,15,9,9,15,33,83,142,236,169,204,230,244,297,292,449,570,698,584,343,211,138,101,66,63
Oct,25,2016,Tuesday,22,10,29,19,47,69,127,231,161,197,208,233,285,328,428,499,718,589,349,215,138,126,74,74
Oct,26,2016,Wednesday,30,34,17,22,39,72,158,209,176,202,233,268,295,317,441,568,725,613,370,244,170,113,85,69
Oct,27,2016,Thursday,34,35,20,20,42,84,153,227,173,197,219,265,293,341,460,606,720,641,368,252,182,105,89,74
Oct,28,2016,Friday,30,36,23,19,38,76,132,206,193,228,286,342,395,427,534,655,768,673,439,270,216,176,110,91
Oct,29,2016,Saturday,54,40,26,13,23,36,48,111,155,254,376,434,484,481,482,450,427,374,286,228,170,139,90,78
Oct,30,2016,Sunday,52,49,23,12,12,24,32,75,126,219,339,428,474,439,433,410,344,314,258,186,122,71,41,33
Oct,31,2016,Monday,13,10,11,11,29,59,119,161,131,151,169,206,236,236,337,410,535,452,258,162,118,70,62,48
Nov,1,2016,Tuesday,34,30,14,19,49,98,168,250,195,198,253,276,320,359,492,627,751,645,374,229,174,141,97,86
Nov,2,2016,Wednesday,37,32,16,21,44,95,191,233,202,214,261,305,335,363,499,651,790,625,369,243,185,122,88,84
Nov,3,2016,Thursday,34,35,22,20,48,101,156,264,189,212,256,285,307,350,492,686,754,649,354,240,182,139,93,88
Nov,4,2016,Friday,37,36,24,24,45,93,138,243,211,255,328,385,428,477,576,687,811,692,440,309,213,182,142,104
Nov,5,2016,Saturday,56,45,30,16,37,80,62,102,163,268,331,368,436,411,420,386,386,353,300,223,189,139,107,78
Nov,6,2016,Sunday,70,49,25,16,18,46,40,72,123,201,283,379,432,407,387,353,322,299,265,189,121,73,47,42
Nov,7,2016,Monday,14,8,11,16,47,95,160,229,186,207,240,302,301,329,449,586,708,608,313,210,151,95,80,70
Nov,8,2016,Tuesday,33,29,14,19,48,96,163,243,189,192,246,268,311,349,479,610,730,627,363,223,170,137,95,80
Nov,9,2016,Wednesday,35,30,15,20,41,89,178,218,189,200,244,276,321,333,433,584,751,599,357,241,171,115,80,64
Nov,10,2016,Thursday,26,16,35,21,57,88,119,265,202,222,251,269,306,348,491,581,748,600,351,252,188,107,100,73
Nov,11,2016,Friday,30,24,33,35,53,91,122,237,217,226,310,350,390,435,545,581,704,570,363,222,202,191,126,83
Nov,12,2016,Saturday,50,37,27,19,28,53,55,113,180,283,337,438,383,434,380,392,389,371,290,215,164,149,80,55
Nov,13,2016,Sunday,50,39,22,17,14,38,32,93,130,221,310,411,378,359,369,397,350,297,235,145,107,72,30,26
Nov,14,2016,Monday,19,13,9,14,52,83,128,234,212,190,259,280,328,331,445,587,672,528,316,204,123,113,68,65
Nov,15,2016,Tuesday,19,17,32,14,48,92,139,233,197,225,234,269,283,320,502,577,740,562,361,192,183,142,73,57
Nov,16,2016,Wednesday,29,27,36,19,47,88,143,244,141,235,237,288,327,355,497,629,731,632,365,199,183,136,91,60
Nov,17,2016,Thursday,17,29,33,22,52,98,151,260,214,277,319,323,312,379,488,612,729,588,376,220,199,121,87,68
Nov,18,2016,Friday,35,24,37,18,44,95,131,283,203,283,360,366,468,476,658,674,783,583,420,255,181,168,112,86
Nov,19,2016,Saturday,40,19,24,17,52,100,54,85,131,238,294,339,365,352,360,368,350,295,268,181,147,136,88,68
Nov,20,2016,Sunday,50,37,31,11,28,89,38,77,104,172,240,348,323,353,331,303,301,289,236,128,111,68,41,25
Nov,21,2016,Monday,15,9,7,10,46,89,124,228,167,233,224,291,338,363,429,550,683,559,329,200,129,102,84,54
Nov,22,2016,Tuesday,19,20,33,21,41,98,127,242,191,200,214,311,330,342,496,564,669,578,333,176,155,138,75,49
Nov,23,2016,Wednesday,36,25,32,23,43,90,113,203,169,211,256,328,445,389,484,531,645,525,338,246,167,143,89,80
Nov,24,2016,Thursday,50,29,31,25,17,47,31,66,105,192,368,459,273,223,220,314,273,184,193,207,164,127,76,55
Nov,25,2016,Friday,37,27,19,14,18,57,75,150,180,241,324,400,413,403,411,436,352,356,256,177,158,125,86,90
Nov,26,2016,Saturday,55,33,29,16,14,45,48,79,140,211,266,375,370,408,362,347,341,290,242,183,126,130,73,66
Nov,27,2016,Sunday,43,50,17,20,9,34,32,58,109,171,250,328,327,342,395,368,332,278,219,136,99,66,29,34
Nov,28,2016,Monday,9,8,7,13,39,78,140,230,173,207,225,262,289,344,407,582,696,520,304,195,128,88,79,54
Nov,29,2016,Tuesday,18,14,34,29,42,79,132,234,178,208,267,259,265,312,445,566,751,561,341,154,146,147,78,64
Nov,30,2016,Wednesday,32,21,34,21,40,87,144,228,164,201,219,256,247,311,406,530,717,612,311,222,158,117,78,60
Dec,1,2016,Thursday,21,22,33,26,43,86,127,228,162,178,206,233,299,271,427,550,732,553,330,233,159,129,78,65
Dec,2,2016,Friday,37,21,34,27,41,72,117,189,180,204,262,280,354,409,509,599,721,569,395,256,186,191,129,90
Dec,3,2016,Saturday,61,46,26,22,29,45,84,141,310,379,401,388,435,385,402,355,337,333,297,179,138,176,100,96
Dec,4,2016,Sunday,52,42,24,18,12,21,29,67,91,142,183,269,269,238,244,280,282,273,193,138,86,70,30,35
Dec,5,2016,Monday,13,11,10,14,41,82,117,216,133,185,211,244,252,299,445,523,673,536,289,200,141,111,69,58
Dec,6,2016,Tuesday,21,12,27,18,49,79,130,199,137,178,201,227,224,244,404,510,687,557,308,179,147,128,84,71
Dec,7,2016,Wednesday,25,22,39,17,43,75,133,191,138,187,201,247,291,303,432,514,714,552,328,230,171,122,84,55
Dec,8,2016,Thursday,31,16,36,21,49,65,123,188,148,150,204,217,279,310,419,567,687,600,364,192,183,141,91,63
Dec,9,2016,Friday,26,22,41,21,37,74,110,179,171,204,228,304,372,384,481,627,675,588,360,223,216,164,110,120
Dec,10,2016,Saturday,44,45,22,12,18,36,51,99,149,215,339,346,372,403,382,374,273,218,168,109,112,90,65,52
Dec,11,2016,Sunday,33,21,19,8,6,19,19,52,58,96,130,179,163,213,238,242,205,199,148,122,84,51,20,24
Dec,12,2016,Monday,22,7,11,18,29,78,110,184,134,166,196,191,238,265,391,511,618,555,292,179,114,90,84,59
Dec,13,2016,Tuesday,17,22,31,19,43,84,112,183,140,159,182,232,220,250,399,508,687,541,315,203,147,122,87,58
Dec,14,2016,Wednesday,23,22,33,16,48,69,115,192,145,187,210,187,257,290,381,506,667,562,353,237,181,98,80,69
Dec,15,2016,Thursday,21,27,34,16,38,68,112,203,135,156,180,218,269,257,445,516,659,571,358,206,190,112,95,79
Dec,16,2016,Friday,31,18,28,25,35,74,93,183,138,194,256,269,343,335,427,445,477,343,183,122,85,78,59,53
Dec,17,2016,Saturday,25,28,15,12,18,23,26,44,53,91,142,173,209,221,246,254,268,208,179,135,110,114,66,45
Dec,18,2016,Sunday,29,31,17,6,8,12,27,57,57,125,183,278,227,212,210,262,272,228,198,117,70,63,43,31
Dec,19,2016,Monday,19,15,11,15,32,78,107,180,147,180,205,232,249,292,390,519,649,555,315,205,156,126,80,66
Dec,20,2016,Tuesday,24,21,23,22,35,76,101,184,174,191,211,257,270,307,439,544,684,584,284,213,184,171,88,78
Dec,21,2016,Wednesday,41,20,40,20,37,74,96,182,167,162,212,223,267,312,453,548,722,558,334,244,178,143,87,71
Dec,22,2016,Thursday,29,19,26,24,44,80,106,214,169,198,230,263,306,361,466,525,711,577,362,250,225,152,99,89
Dec,23,2016,Friday,36,20,35,18,40,58,76,141,154,231,272,380,364,374,350,361,358,297,237,143,105,89,75,69
Dec,24,2016,Saturday,28,42,13,13,18,18,22,48,98,192,299,376,308,239,256,264,274,305,188,134,165,105,102,63
Dec,25,2016,Sunday,35,20,8,7,2,17,19,41,77,120,189,256,227,215,198,201,210,161,121,103,83,59,41,35
Dec,26,2016,Monday,15,16,5,14,9,9,38,61,108,152,226,267,301,304,347,334,305,222,179,151,149,78,57,48
Dec,27,2016,Tuesday,17,7,10,12,33,60,83,144,146,176,219,252,302,334,402,534,602,452,304,166,111,174,89,87
Dec,28,2016,Wednesday,30,22,32,22,33,59,87,149,171,181,238,284,290,348,444,497,656,537,279,149,155,124,98,75
Dec,29,2016,Thursday,41,20,29,17,45,66,86,150,159,184,220,258,281,311,380,488,606,498,293,178,149,127,78,71
Dec,30,2016,Friday,26,25,28,18,31,60,62,132,175,179,279,323,364,355,455,480,554,465,292,240,170,186,93,67
Dec,31,2016,Saturday,38,38,25,9,7,12,28,46,119,175,245,320,357,331,357,321,357,358,289,155,123,106,67,50
